"Chapter","Expansion","Kind","Category","Tier","Name","ReqLevel","ItemLevel","Link"
"1","ARR (2.0)","Duty","Raids","Alliance-Raid","The Labyrinth of the Ancients","50","50","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/d9f4e986d0e/"
"1","ARR (2.0)","Duty","Raids","Alliance-Raid","Syrcus Tower","50","70","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/47eb1d018b6/"
"1","ARR (2.0)","Duty","Raids","Alliance-Raid","The World of Darkness","50","90","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/7f0a3551ab6/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Sastasha","15",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/b229b89b3a8/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Tam-Tara Deepcroft","16",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/29e71c3b0a0/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Copperbell Mines","17",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/619923ac984/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Halatali","20",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/98319325b98/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Thousand Maws of Toto-Rak","24",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/cf7612fa294/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Haukke Manor","28",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/e9740dde26c/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Brayflox's Longstop","32",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/e371c7ab919/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Sunken Temple of Qarn","35",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/b7a48152df9/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Cutter's Cry","38",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/d601f85dc1e/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Stone Vigil","41",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/b6491e1b508/"
