"Ver","Name","ReqLevel","AvgItemLevel","Link"
"0","Sastasha","15","-","/lodestone/playguide/db/duty/b229b89b3a8/"
"0","The Tam-Tara Deepcroft","16","-","/lodestone/playguide/db/duty/29e71c3b0a0/"
"0","Copperbell Mines","17","-","/lodestone/playguide/db/duty/619923ac984/"
"0","Halatali","20","-","/lodestone/playguide/db/duty/98319325b98/"
"0","The Thousand Maws of Toto-Rak","24","-","/lodestone/playguide/db/duty/cf7612fa294/"
"0","Haukke Manor","28","-","/lodestone/playguide/db/duty/e9740dde26c/"
"0","Brayflox's Longstop","32","-","/lodestone/playguide/db/duty/e371c7ab919/"
"0","The Sunken Temple of Qarn","35","-","/lodestone/playguide/db/duty/b7a48152df9/"
"0","Cutter's Cry","38","-","/lodestone/playguide/db/duty/d601f85dc1e/"
"0","The Stone Vigil","41","-","/lodestone/playguide/db/duty/b6491e1b508/"
"0","Dzemael Darkhold","44","-","/lodestone/playguide/db/duty/4a36cbca533/"
"0","The Aurum Vale","47","-","/lodestone/playguide/db/duty/f507633618c/"
"0","The Wanderer's Palace","50","45","/lodestone/playguide/db/duty/3fd66be47b2/"
"0","Castrum Meridianum","50","42","/lodestone/playguide/db/duty/59c2b3b84fa/"
"0","The Praetorium","50","42","/lodestone/playguide/db/duty/f6de0165484/"
"0","Amdapor Keep","50","45","/lodestone/playguide/db/duty/ae8a92122ec/"
"0","Pharos Sirius","50","48","/lodestone/playguide/db/duty/a8dd3748467/"
"0","Copperbell Mines (Hard)","50","48","/lodestone/playguide/db/duty/a780ca9b970/"
"0","Haukke Manor (Hard)","50","48","/lodestone/playguide/db/duty/61c74c68e00/"
"0","The Lost City of Amdapor","50","55","/lodestone/playguide/db/duty/87d3b951d3d/"
"0","Halatali (Hard)","50","55","/lodestone/playguide/db/duty/d536b8f0cc8/"
"0","Brayflox's Longstop (Hard)","50","55","/lodestone/playguide/db/duty/40681f6c94a/"
"0","Hullbreaker Isle","50","70","/lodestone/playguide/db/duty/18aeffad7c5/"
"0","The Tam-Tara Deepcroft (Hard)","50","70","/lodestone/playguide/db/duty/84d01fe5b6c/"
"0","The Stone Vigil (Hard)","50","70","/lodestone/playguide/db/duty/418628edfbf/"
"0","Snowcloak","50","80","/lodestone/playguide/db/duty/6f1778eb631/"
"0","Sastasha (Hard)","50","80","/lodestone/playguide/db/duty/df38ed5c808/"
"0","The Sunken Temple of Qarn (Hard)","50","80","/lodestone/playguide/db/duty/6b35d4a1179/"
"0","The Keeper of the Lake","50","90","/lodestone/playguide/db/duty/5e75d2059af/"
"0","The Wanderer's Palace (Hard)","50","90","/lodestone/playguide/db/duty/7c11b0ba080/"
"0","Amdapor Keep (Hard)","50","90","/lodestone/playguide/db/duty/a4288ecf826/"
"1","The Dusk Vigil","51","100","/lodestone/playguide/db/duty/df5ab8bfd61/"
"1","Sohm Al","53","105","/lodestone/playguide/db/duty/eed0add7a62/"
"1","The Aery","55","110","/lodestone/playguide/db/duty/339c4923556/"
"1","The Vault","57","115","/lodestone/playguide/db/duty/a62f7ee3718/"
"1","The Great Gubal Library","59","120","/lodestone/playguide/db/duty/f368b40c648/"
"1","The Aetherochemical Research Facility","60","142","/lodestone/playguide/db/duty/923e0a1d1d0/"
"1","Neverreap","60","145","/lodestone/playguide/db/duty/618168354ea/"
"1","The Fractal Continuum","60","145","/lodestone/playguide/db/duty/c39cf50a6a5/"
"1","Saint Mocianne's Arboretum","60","170","/lodestone/playguide/db/duty/cdad1cb65e8/"
"1","Pharos Sirius (Hard)","60","170","/lodestone/playguide/db/duty/cd500c08682/"
"1","The Antitower","60","180","/lodestone/playguide/db/duty/36e172ff46c/"
"1","The Lost City of Amdapor (Hard)","60","180","/lodestone/playguide/db/duty/193a96b0fa4/"
"1","Sohr Khai","60","200","/lodestone/playguide/db/duty/a8c7c5c13bd/"
