"Cat","Ver","Name","ReqLevel","AvgItemLevel","New","Link"
"Trials","0","The Bowl of Embers","20","-","","/lodestone/playguide/db/duty/c3e6020e9e6/"
"Trials","0","The Navel","34","-","","/lodestone/playguide/db/duty/859d01176cd/"
"Trials","0","The Howling Eye","44","-","","/lodestone/playguide/db/duty/9c8db3d95b6/"
"Trials","0","The Porta Decumana","50","42","","/lodestone/playguide/db/duty/f369418dbf8/"
"Trials","0","The Chrysalis","50","90","","/lodestone/playguide/db/duty/2fac3746c16/"
"Trials","0","A Relic Reborn: the Chimera","50","52","","/lodestone/playguide/db/duty/decf353d4e7/"
"Trials","0","A Relic Reborn: the Hydra","50","52","","/lodestone/playguide/db/duty/c87fbc421a0/"
"Trials","0","Battle on the Big Bridge","50","50","","/lodestone/playguide/db/duty/c370021f429/"
"Trials","0","The Dragon's Neck","50","80","","/lodestone/playguide/db/duty/a74020d08e8/"
"Trials","0","Battle in the Big Keep","50","90","","/lodestone/playguide/db/duty/cb876745bce/"
"Trials","0","The Bowl of Embers (Hard)","50","49","","/lodestone/playguide/db/duty/2640986aff3/"
"Trials","0","The Howling Eye (Hard)","50","52","","/lodestone/playguide/db/duty/b74b4328a17/"
"Trials","0","The Navel (Hard)","50","57","","/lodestone/playguide/db/duty/349d6ca4465/"
"Trials","0","Thornmarch (Hard)","50","54","","/lodestone/playguide/db/duty/6a88aecaec1/"
"Trials","0","The <i>Whorleater</i> (Hard)","50","60","","/lodestone/playguide/db/duty/a9147177b7a/"
"Trials","0","The Striking Tree (Hard)","50","65","","/lodestone/playguide/db/duty/520ffafb60d/"
"Trials","0","The Akh Afah Amphitheatre (Hard)","50","80","","/lodestone/playguide/db/duty/c38bedcfa46/"
"Trials","0","Urth's Fount","50","95","","/lodestone/playguide/db/duty/21d8c5bd54b/"
"Trials","0","The Minstrel's Ballad: Ultima's Bane","50","61","","/lodestone/playguide/db/duty/0de44d2eccf/"
"Trials","0","The Howling Eye (Extreme)","50","65","","/lodestone/playguide/db/duty/7c17ae70cc6/"
"Trials","0","The Navel (Extreme)","50","67","","/lodestone/playguide/db/duty/589c727302e/"
"Trials","0","The Bowl of Embers (Extreme)","50","70","","/lodestone/playguide/db/duty/6af1a94ccca/"
"Trials","0","Thornmarch (Extreme)","50","80","","/lodestone/playguide/db/duty/b7c47c44490/"
"Trials","0","The <i>Whorleater</i> (Extreme)","50","80","","/lodestone/playguide/db/duty/0850a8627aa/"
