"Role","RoleGroup","Section","JobKey","Name","Limited","Url"
"Magical Ranged DPS","DPS","dps","blackmage","Black Mage","False","https://na.finalfantasyxiv.com/jobguide/blackmage/"
"Magical Ranged DPS","DPS","dps","bluemage","Blue Mage (Limited Job)","True","https://na.finalfantasyxiv.com/jobguide/bluemage/"
"Magical Ranged DPS","DPS","dps","pictomancer","Pictomancer","False","https://na.finalfantasyxiv.com/jobguide/pictomancer/"
"Magical Ranged DPS","DPS","dps","redmage","Red Mage","False","https://na.finalfantasyxiv.com/jobguide/redmage/"
"Magical Ranged DPS","DPS","dps","summoner","Summoner","False","https://na.finalfantasyxiv.com/jobguide/summoner/"
"Melee DPS","DPS","dps","beastmaster","Beastmaster (Limited Job)","True","https://na.finalfantasyxiv.com/jobguide/beastmaster/"
"Melee DPS","DPS","dps","dragoon","Dragoon","False","https://na.finalfantasyxiv.com/jobguide/dragoon/"
"Melee DPS","DPS","dps","monk","Monk","False","https://na.finalfantasyxiv.com/jobguide/monk/"
"Melee DPS","DPS","dps","ninja","Ninja","False","https://na.finalfantasyxiv.com/jobguide/ninja/"
"Melee DPS","DPS","dps","reaper","Reaper","False","https://na.finalfantasyxiv.com/jobguide/reaper/"
"Melee DPS","DPS","dps","samurai","Samurai","False","https://na.finalfantasyxiv.com/jobguide/samurai/"
"Melee DPS","DPS","dps","viper","Viper","False","https://na.finalfantasyxiv.com/jobguide/viper/"
"Physical Ranged DPS","DPS","dps","bard","Bard","False","https://na.finalfantasyxiv.com/jobguide/bard/"
"Physical Ranged DPS","DPS","dps","dancer","Dancer","False","https://na.finalfantasyxiv.com/jobguide/dancer/"
"Physical Ranged DPS","DPS","dps","machinist","Machinist","False","https://na.finalfantasyxiv.com/jobguide/machinist/"
"Healer","Healer","healer","astrologian","Astrologian","False","https://na.finalfantasyxiv.com/jobguide/astrologian/"
"Healer","Healer","healer","sage","Sage","False","https://na.finalfantasyxiv.com/jobguide/sage/"
"Healer","Healer","healer","scholar","Scholar","False","https://na.finalfantasyxiv.com/jobguide/scholar/"
"Healer","Healer","healer","whitemage","White Mage","False","https://na.finalfantasyxiv.com/jobguide/whitemage/"
"Tank","Tank","tank","darkknight","Dark Knight","False","https://na.finalfantasyxiv.com/jobguide/darkknight/"
"Tank","Tank","tank","gunbreaker","Gunbreaker","False","https://na.finalfantasyxiv.com/jobguide/gunbreaker/"
"Tank","Tank","tank","paladin","Paladin","False","https://na.finalfantasyxiv.com/jobguide/paladin/"
"Tank","Tank","tank","warrior","Warrior","False","https://na.finalfantasyxiv.com/jobguide/warrior/"
