"Cat","Ver","Name","ReqLevel","AvgIL","MaxDropIL","New"
"Trials","0","The Bowl of Embers","20","-","0",""
"Trials","0","The Navel","34","-","0",""
"Trials","0","The Howling Eye","44","-","0",""
"Trials","0","The Porta Decumana","50","42","0",""
"Trials","0","The Chrysalis","50","90","0",""
"Trials","0","A Relic Reborn: the Chimera","50","52","0",""
"Trials","0","A Relic Reborn: the Hydra","50","52","0",""
"Trials","0","Battle on the Big Bridge","50","50","0",""
"Trials","0","The Dragon's Neck","50","80","0",""
"Trials","0","Battle in the Big Keep","50","90","0",""
"Trials","0","The Bowl of Embers (Hard)","50","49","60",""
"Trials","0","The Howling Eye (Hard)","50","52","70",""
"Trials","0","The Navel (Hard)","50","57","80",""
"Trials","0","Thornmarch (Hard)","50","54","75",""
"Trials","0","The <i>Whorleater</i> (Hard)","50","60","0",""
"Trials","0","The Striking Tree (Hard)","50","65","0",""
"Trials","0","The Akh Afah Amphitheatre (Hard)","50","80","0",""
"Trials","0","Urth's Fount","50","95","50",""
"Trials","0","The Minstrel's Ballad: Ultima's Bane","50","61","80",""
"Trials","0","The Howling Eye (Extreme)","50","65","90",""
"Trials","0","The Navel (Extreme)","50","67","90",""
"Trials","0","The Bowl of Embers (Extreme)","50","70","90",""
"Trials","0","Thornmarch (Extreme)","50","80","100",""
"Trials","0","The <i>Whorleater</i> (Extreme)","50","80","95",""
"Trials","0","The Striking Tree (Extreme)","50","85","110",""
"Trials","0","The Akh Afah Amphitheatre (Extreme)","50","95","120",""
"Trials","1","Thok ast Thok (Hard)","53","-","0",""
"Trials","1","The Limitless Blue (Hard)","57","-","0",""
"Trials","1","The Singularity Reactor","60","142","0",""
"Trials","1","The Final Steps of Faith","60","205","0",""
"Trials","1","Containment Bay S1T7","60","190","0",""
"Trials","1","Containment Bay P1T6","60","220","0",""
"Trials","1","Containment Bay Z1T9","60","235","0",""
"Trials","1","The Limitless Blue (Extreme)","60","165","175",""
"Trials","1","Thok ast Thok (Extreme)","60","175","190",""
"Trials","1","The Minstrel's Ballad: Thordan's Reign","60","190","205",""
"Trials","1","The Minstrel's Ballad: Nidhogg's Rage","60","220","235",""
"Trials","1","Containment Bay S1T7 (Extreme)","60","205","220",""
"Trials","1","Containment Bay P1T6 (Extreme)","60","235","255",""
"Trials","1","Containment Bay Z1T9 (Extreme)","60","250","265",""
"Trials","2","The Pool of Tribute","63","-","0",""
"Trials","2","Emanation","67","-","0",""
"Trials","2","The Royal Menagerie","70","280","0",""
"Trials","2","Castrum Fluminis","70","335","0",""
"Trials","2","Kugane Ohashi","70","365","0",""
"Trials","2","The Great Hunt","70","320","0",""
"Trials","2","The Jade Stoa","70","325","0",""
"Trials","2","Hells' Kier","70","355","0",""
"Trials","2","The Wreath of Snakes","70","365","0",""
"Trials","2","The Pool of Tribute (Extreme)","70","300","320",""
"Trials","2","Emanation (Extreme)","70","300","320",""
"Trials","2","The Minstrel's Ballad: Shinryu's Domain","70","320","335",""
"Trials","2","The Minstrel's Ballad: Tsukuyomi's Pain","70","350","365",""
"Trials","2","The Great Hunt (Extreme)","70","350","0",""
"Trials","2","The Jade Stoa (Extreme)","70","340","355",""
"Trials","2","Hells' Kier (Extreme)","70","370","385",""
"Trials","2","The Wreath of Snakes (Extreme)","70","380","395",""
"Trials","3","The Dancing Plague","73","-","0",""
"Trials","3","The Crown of the Immaculate","79","-","0",""
"Trials","3","The Dying Gasp","80","410","0",""
"Trials","3","Cinder Drift","80","455","0",""
"Trials","3","The Seat of Sacrifice","80","465","0",""
"Trials","3","Castrum Marinum","80","485","0",""
"Trials","3","The Cloud Deck","80","495","0",""
"Trials","3","The Dancing Plague (Extreme)","80","430","450",""
"Trials","3","The Crown of the Immaculate (Extreme)","80","430","450",""
"Trials","3","The Minstrel's Ballad: Hades's Elegy","80","450","465",""
"Trials","3","Cinder Drift (Extreme)","80","470","485",""
"Trials","3","Memoria Misera (Extreme)","80","470","0",""
"Trials","3","The Seat of Sacrifice (Extreme)","80","480","495",""
"Trials","3","Castrum Marinum (Extreme)","80","500","515",""
"Trials","3","The Cloud Deck (Extreme)","80","510","525",""
"Trials","4","The Dark Inside","83","-","0",""
"Trials","4","The Mothercrystal","89","-","0",""
"Trials","4","The Final Day","90","540","0",""
"Trials","4","Storm's Crown","90","585","0",""
"Trials","4","Mount Ordeals","90","595","0",""
"Trials","4","The Voidcast Dais","90","615","0",""
"Trials","4","The Abyssal Fracture","90","625","0",""
"Trials","4","The Gilded Araya","90","625","0",""
"Trials","4","The Minstrel's Ballad: Zodiark's Fall","90","560","580",""
"Trials","4","The Minstrel's Ballad: Hydaelyn's Call","90","560","580",""
"Trials","4","The Minstrel's Ballad: Endsinger's Aria","90","580","595",""
"Trials","4","Storm's Crown (Extreme)","90","600","615",""
"Trials","4","Mount Ordeals (Extreme)","90","610","625",""
"Trials","4","The Voidcast Dais (Extreme)","90","630","645",""
"Trials","4","The Abyssal Fracture (Extreme)","90","640","655",""
"Trials","5","Shinryu's Domain (Unreal)","100","690","0","NEW"
"Trials","5","Worqor Lar Dor","93","-","0",""
"Trials","5","Everkeep","99","-","0",""
"Trials","5","The Interphos","100","670","0",""
"Trials","5","Recollection","100","715","0",""
"Trials","5","The Ageless Necropolis","100","725","0",""
"Trials","5","The Windward Wilds","100","725","0",""
"Trials","5","Hell on Rails","100","745","0",""
"Trials","5","The Unmaking","100","755","0","NEW"
"Trials","5","Worqor Lar Dor (Extreme)","100","690","710",""
"Trials","5","Everkeep (Extreme)","100","690","710",""
"Trials","5","The Minstrel's Ballad: Sphene's Burden","100","710","725",""
"Trials","5","Recollection (Extreme)","100","730","745",""
"Trials","5","The Minstrel's Ballad: Necron's Embrace","100","740","755",""
"Trials","5","The Windward Wilds (Extreme)","100","740","0",""
"Trials","5","Hell on Rails (Extreme)","100","760","775",""
"Trials","5","The Unmaking (Extreme)","100","770","785","NEW"
"Raids","0","The Labyrinth of the Ancients","50","50","80",""
"Raids","0","Syrcus Tower","50","70","100",""
"Raids","0","The World of Darkness","50","90","120",""
"Raids","0","The Binding Coil of Bahamut - Turn 1","50","70","90",""
"Raids","0","The Binding Coil of Bahamut - Turn 2","50","73","0",""
"Raids","0","The Binding Coil of Bahamut - Turn 3","50","70","0",""
"Raids","0","The Binding Coil of Bahamut - Turn 4","50","77","0",""
"Raids","0","The Binding Coil of Bahamut - Turn 5","50","82","95",""
"Raids","0","The Second Coil of Bahamut - Turn 1","50","90","110",""
"Raids","0","The Second Coil of Bahamut - Turn 2","50","95","0",""
"Raids","0","The Second Coil of Bahamut - Turn 3","50","100","0",""
"Raids","0","The Second Coil of Bahamut - Turn 4","50","105","115",""
"Raids","0","The Final Coil of Bahamut - Turn 1","50","110","130",""
"Raids","0","The Final Coil of Bahamut - Turn 2","50","115","0",""
"Raids","0","The Final Coil of Bahamut - Turn 3","50","120","0",""
"Raids","0","The Final Coil of Bahamut - Turn 4","50","123","135",""
"Raids","0","The Second Coil of Bahamut (Savage) - Turn 1","50","105","110",""
"Raids","0","The Second Coil of Bahamut (Savage) - Turn 2","50","105","0",""
"Raids","0","The Second Coil of Bahamut (Savage) - Turn 3","50","105","0",""
"Raids","0","The Second Coil of Bahamut (Savage) - Turn 4","50","105","115",""
"Raids","1","The Void Ark","60","175","200",""
"Raids","1","The Weeping City of Mhach","60","205","230",""
"Raids","1","Dun Scaith","60","235","260",""
"Raids","1","Alexander - The Fist of the Father","60","170","0",""
"Raids","1","Alexander - The Cuff of the Father","60","170","0",""
"Raids","1","Alexander - The Arm of the Father","60","170","0",""
"Raids","1","Alexander - The Burden of the Father","60","170","0",""
"Raids","1","Alexander - The Fist of the Son","60","200","0",""
"Raids","1","Alexander - The Cuff of the Son","60","200","0",""
"Raids","1","Alexander - The Arm of the Son","60","200","0",""
"Raids","1","Alexander - The Burden of the Son","60","200","0",""
"Raids","1","Alexander - The Eyes of the Creator","60","230","0",""
"Raids","1","Alexander - The Breath of the Creator","60","230","0",""
"Raids","1","Alexander - The Heart of the Creator","60","230","0",""
"Raids","1","Alexander - The Soul of the Creator","60","230","0",""
"Raids","1","Alexander - The Fist of the Father (Savage)","60","190","210",""
"Raids","1","Alexander - The Cuff of the Father (Savage)","60","195","0",""
"Raids","1","Alexander - The Arm of the Father (Savage)","60","200","0",""
"Raids","1","Alexander - The Burden of the Father (Savage)","60","205","210",""
"Raids","1","Alexander - The Fist of the Son (Savage)","60","215","240",""
"Raids","1","Alexander - The Cuff of the Son (Savage)","60","220","0",""
"Raids","1","Alexander - The Arm of the Son (Savage)","60","225","0",""
"Raids","1","Alexander - The Burden of the Son (Savage)","60","225","245",""
"Raids","1","Alexander - The Eyes of the Creator (Savage)","60","245","270",""
"Raids","1","Alexander - The Breath of the Creator (Savage)","60","250","0",""
"Raids","1","Alexander - The Heart of the Creator (Savage)","60","255","0",""
"Raids","1","Alexander - The Soul of the Creator (Savage)","60","255","275",""
"Raids","2","The Royal City of Rabanastre","70","305","330",""
"Raids","2","The Ridorana Lighthouse","70","335","360",""
"Raids","2","The Orbonne Monastery","70","365","390",""
"Raids","2","Deltascape V1.0","70","295","0",""
"Raids","2","Deltascape V2.0","70","295","0",""
"Raids","2","Deltascape V3.0","70","295","0",""
"Raids","2","Deltascape V4.0","70","295","0",""
"Raids","2","Sigmascape V1.0","70","325","0",""
"Raids","2","Sigmascape V2.0","70","325","0",""
"Raids","2","Sigmascape V3.0","70","325","0",""
"Raids","2","Sigmascape V4.0","70","325","0",""
"Raids","2","Alphascape V1.0","70","355","0",""
"Raids","2","Alphascape V2.0","70","355","0",""
"Raids","2","Alphascape V3.0","70","355","0",""
"Raids","2","Alphascape V4.0","70","355","0",""
"Raids","2","Deltascape V1.0 (Savage)","70","310","0",""
"Raids","2","Deltascape V2.0 (Savage)","70","315","0",""
"Raids","2","Deltascape V3.0 (Savage)","70","320","0",""
"Raids","2","Deltascape V4.0 (Savage)","70","320","345",""
"Raids","2","Sigmascape V1.0 (Savage)","70","340","0",""
"Raids","2","Sigmascape V2.0 (Savage)","70","345","0",""
"Raids","2","Sigmascape V3.0 (Savage)","70","350","0",""
"Raids","2","Sigmascape V4.0 (Savage)","70","350","375",""
"Raids","2","Alphascape V1.0 (Savage)","70","370","0",""
"Raids","2","Alphascape V2.0 (Savage)","70","375","0",""
"Raids","2","Alphascape V3.0 (Savage)","70","380","0",""
"Raids","2","Alphascape V4.0 (Savage)","70","380","405",""
"Raids","3","The Copied Factory","80","435","460",""
"Raids","3","The Puppets' Bunker","80","465","490",""
"Raids","3","The Tower at Paradigm's Breach","80","495","520",""
"Raids","3","Eden's Gate: Resurrection","80","425","0",""
"Raids","3","Eden's Gate: Descent","80","425","0",""
"Raids","3","Eden's Gate: Inundation","80","425","0",""
"Raids","3","Eden's Gate: Sepulture","80","425","0",""
"Raids","3","Eden's Verse: Fulmination","80","455","0",""
"Raids","3","Eden's Verse: Furor","80","455","0",""
"Raids","3","Eden's Verse: Iconoclasm","80","455","0",""
"Raids","3","Eden's Verse: Refulgence","80","455","0",""
"Raids","3","Eden's Promise: Umbra","80","485","0",""
"Raids","3","Eden's Promise: Litany","80","485","0",""
"Raids","3","Eden's Promise: Anamorphosis","80","485","0",""
"Raids","3","Eden's Promise: Eternity","80","485","0",""
"Raids","3","Eden's Gate: Resurrection (Savage)","80","440","0",""
"Raids","3","Eden's Gate: Descent (Savage)","80","445","0",""
"Raids","3","Eden's Gate: Inundation (Savage)","80","450","0",""
"Raids","3","Eden's Gate: Sepulture (Savage)","80","450","475",""
"Raids","3","Eden's Verse: Fulmination (Savage)","80","470","0",""
"Raids","3","Eden's Verse: Furor (Savage)","80","475","0",""
"Raids","3","Eden's Verse: Iconoclasm (Savage)","80","480","0",""
"Raids","3","Eden's Verse: Refulgence (Savage)","80","480","505",""
"Raids","3","Eden's Promise: Umbra (Savage)","80","500","0",""
"Raids","3","Eden's Promise: Litany (Savage)","80","505","0",""
"Raids","3","Eden's Promise: Anamorphosis (Savage)","80","510","0",""
"Raids","3","Eden's Promise: Eternity (Savage)","80","510","535",""
"Raids","4","Aglaia","90","565","590",""
"Raids","4","Euphrosyne","90","595","620",""
"Raids","4","Thaleia","90","625","650",""
"Raids","4","Asphodelos: The First Circle","90","565","0",""
"Raids","4","Asphodelos: The Second Circle","90","565","0",""
"Raids","4","Asphodelos: The Third Circle","90","565","0",""
"Raids","4","Asphodelos: The Fourth Circle","90","565","0",""
"Raids","4","Abyssos: The Fifth Circle","90","585","0",""
"Raids","4","Abyssos: The Sixth Circle","90","585","0",""
"Raids","4","Abyssos: The Seventh Circle","90","585","0",""
"Raids","4","Abyssos: The Eighth Circle","90","585","0",""
"Raids","4","Anabaseios: The Ninth Circle","90","615","0",""
"Raids","4","Anabaseios: The Tenth Circle","90","615","0",""
"Raids","4","Anabaseios: The Eleventh Circle","90","615","0",""
"Raids","4","Anabaseios: The Twelfth Circle","90","615","0",""
"Raids","4","Asphodelos: The First Circle (Savage)","90","570","0",""
"Raids","4","Asphodelos: The Second Circle (Savage)","90","575","0",""
