"Cat","Name","Patch","Strong","Weak","ReqLevel","AvgIL"
"Trials","The Bowl of Embers","2.1","2.1","2.1","20","-"
"Trials","The Navel","2.1","2.1","2.1","34","-"
"Trials","The Howling Eye","2.1","2.1","2.1","44","-"
"Trials","The Porta Decumana","6.1","6.1","6.1","50","42"
"Trials","The Chrysalis","3.0","3.0","3.0","50","90"
"Trials","A Relic Reborn: the Chimera","","","","50","52"
"Trials","A Relic Reborn: the Hydra","","","","50","52"
"Trials","Battle on the Big Bridge","2.2","2.2","2.2","50","50"
"Trials","The Dragon's Neck","2.4","2.4","2.4","50","80"
"Trials","Battle in the Big Keep","2.5","2.5","2.5","50","90"
"Trials","The Bowl of Embers (Hard)","2.1","2.1","2.1","50","49"
"Trials","The Howling Eye (Hard)","2.1","2.1","2.1","50","52"
"Trials","The Navel (Hard)","2.1","2.1","2.1","50","57"
"Trials","Thornmarch (Hard)","2.2","2.2","2.2","50","54"
"Trials","The Whorleater (Hard)","2.2","2.2","2.2","50","60"
"Trials","The Striking Tree (Hard)","2.3","2.3","2.3","50","65"
"Trials","The Akh Afah Amphitheatre (Hard)","2.4","2.4","2.4","50","80"
"Trials","Urth's Fount","2.5","2.5","2.5","50","95"
"Trials","The Minstrel's Ballad: Ultima's Bane","2.1","2.1","2.1","50","61"
"Trials","The Howling Eye (Extreme)","2.1","2.1","2.1","50","65"
"Trials","The Navel (Extreme)","2.1","2.1","2.1","50","67"
"Trials","The Bowl of Embers (Extreme)","2.1","2.1","2.1","50","70"
"Trials","Thornmarch (Extreme)","2.2","2.2","2.2","50","80"
"Trials","The Whorleater (Extreme)","2.2","2.2","2.2","50","80"
"Trials","The Striking Tree (Extreme)","2.3","2.3","2.3","50","85"
"Trials","The Akh Afah Amphitheatre (Extreme)","2.4","2.4","2.4","50","95"
"Trials","Thok ast Thok (Hard)","3.1","3.1","3.1","53","-"
"Trials","The Limitless Blue (Hard)","3.1","3.1","3.1","57","-"
"Trials","The Singularity Reactor","3.1","3.1","3.1","60","142"
"Trials","The Final Steps of Faith","3.3","3.3","3.3","60","205"
"Trials","Containment Bay S1T7","3.2","3.2","3.2","60","190"
"Trials","Containment Bay P1T6","3.4","3.4","3.4","60","220"
"Trials","Containment Bay Z1T9","3.5","3.5","3.5","60","235"
"Trials","The Limitless Blue (Extreme)","3.1","3.1","3.05","60","165"
"Trials","Thok ast Thok (Extreme)","3.1","3.1","3.01","60","175"
"Trials","The Minstrel's Ballad: Thordan's Reign","3.1","3.1","3.1","60","190"
"Trials","The Minstrel's Ballad: Nidhogg's Rage","3.3","3.3","3.3","60","220"
"Trials","Containment Bay S1T7 (Extreme)","3.2","3.2","3.2","60","205"
"Trials","Containment Bay P1T6 (Extreme)","3.4","3.4","3.4","60","235"
"Trials","Containment Bay Z1T9 (Extreme)","3.5","3.5","3.5","60","250"
"Trials","The Pool of Tribute","4.01","4.01","4.01","63","-"
"Trials","Emanation","4.05","4.05","4.05","67","-"
"Trials","The Royal Menagerie","4.1","","4.1","70","280"
"Trials","Castrum Fluminis","4.4","","4.4","70","335"
"Trials","Kugane Ohashi","4.56","4.56","4.56","70","365"
"Trials","The Great Hunt","4.36","4.36","4.36","70","320"
"Trials","The Jade Stoa","4.2","4.2","4.2","70","325"
"Trials","Hells' Kier","4.4","4.4","4.4","70","355"
"Trials","The Wreath of Snakes","4.5","4.5","4.5","70","365"
"Trials","The Pool of Tribute (Extreme)","4.1","4.1","4.06","70","300"
"Trials","Emanation (Extreme)","4.05","4.05","4.05","70","300"
"Trials","The Minstrel's Ballad: Shinryu's Domain","4.1","4.1","4.1","70","320"
"Trials","The Minstrel's Ballad: Tsukuyomi's Pain","4.36","4.36","4.36","70","350"
"Trials","The Great Hunt (Extreme)","4.36","4.36","4.36","70","350"
"Trials","The Jade Stoa (Extreme)","4.2","4.2","4.2","70","340"
"Trials","Hells' Kier (Extreme)","4.4","4.4","4.4","70","370"
"Trials","The Wreath of Snakes (Extreme)","4.5","4.5","4.5","70","380"
"Trials","The Dancing Plague","5.1","5.1","5.1","73","-"
"Trials","The Crown of the Immaculate","5.1","5.1","5.1","79","-"
"Trials","The Dying Gasp","5.1","5.1","5.1","80","410"
"Trials","Cinder Drift","5.2","5.2","5.2","80","455"
"Trials","The Seat of Sacrifice","5.4","5.4","5.4","80","465"
"Trials","Castrum Marinum","5.4","5.4","3.5","80","485"
"Trials","The Cloud Deck","5.5","5.5","5.5","80","495"
"Trials","The Dancing Plague (Extreme)","5.1","5.1","5.1","80","430"
"Trials","The Crown of the Immaculate (Extreme)","5.1","","5.1","80","430"
"Trials","The Minstrel's Ballad: Hades's Elegy","5.1","5.1","5.1","80","450"
"Trials","Cinder Drift (Extreme)","5.2","5.2","5.2","80","470"
"Trials","Memoria Misera (Extreme)","5.3","5.3","5.3","80","470"
"Trials","The Seat of Sacrifice (Extreme)","5.4","5.4","5.4","80","480"
"Trials","Castrum Marinum (Extreme)","5.4","5.4","5.4","80","500"
"Trials","The Cloud Deck (Extreme)","5.5","5.5","5.5","80","510"
"Trials","The Dark Inside","6.1","6.1","6.1","83","-"
"Trials","The Mothercrystal","6.1","6.1","6.1","89","-"
"Trials","The Final Day","6.1","6.1","6.1","90","540"
"Trials","Storm's Crown","6.3","6.3","6.2","90","585"
"Trials","Mount Ordeals","6.4","6.4","6.4","90","595"
"Trials","The Voidcast Dais","6.4","6.4","6.4","90","615"
"Trials","The Abyssal Fracture","6.5","6.5","6.5","90","625"
"Trials","The Gilded Araya","6.55","6.55","6.55","90","625"
"Trials","The Minstrel's Ballad: Zodiark's Fall","6.1","6.1","6.1","90","560"
"Trials","The Minstrel's Ballad: Hydaelyn's Call","6.1","6.1","6.1","90","560"
"Trials","The Minstrel's Ballad: Endsinger's Aria","6.1","6.1","6.1","90","580"
"Trials","Storm's Crown (Extreme)","6.3","6.3","6.3","90","600"
"Trials","Mount Ordeals (Extreme)","6.4","6.4","6.4","90","610"
"Trials","The Voidcast Dais (Extreme)","6.4","6.4","6.4","90","630"
"Trials","The Abyssal Fracture (Extreme)","6.5","6.5","6.5","90","640"
"Trials","Shinryu's Domain (Unreal)","7.5","7.5","7.5","100","690"
"Trials","Worqor Lar Dor","7.1","7.1","7.1","93","-"
"Trials","Everkeep","7.1","7.1","7.05","99","-"
"Trials","The Interphos","7.1","7.1","7.1","100","670"
"Trials","Recollection","7.2","7.2","5.45","100","715"
"Trials","The Ageless Necropolis","7.4","7.4","7.4","100","725"
"Trials","The Windward Wilds","7.35","7.35","7.35","100","725"
"Trials","Hell on Rails","7.4","7.4","7.4","100","745"
"Trials","The Unmaking","7.5","7.5","7.5","100","755"
"Trials","Worqor Lar Dor (Extreme)","7.1","7.1","7.1","100","690"
"Trials","Everkeep (Extreme)","7.1","7.1","7.1","100","690"
"Trials","The Minstrel's Ballad: Sphene's Burden","7.1","7.1","7.1","100","710"
"Trials","Recollection (Extreme)","7.2","7.2","7.2","100","730"
"Trials","The Minstrel's Ballad: Necron's Embrace","7.4","7.4","7.4","100","740"
"Trials","The Windward Wilds (Extreme)","7.4","7.4","7.35","100","740"
"Trials","Hell on Rails (Extreme)","7.4","7.4","7.4","100","760"
"Trials","The Unmaking (Extreme)","7.5","7.5","7.5","100","770"
"Raids","The Labyrinth of the Ancients","3.2","3.2","2.1","50","50"
"Raids","Syrcus Tower","2.3","2.3","2.3","50","70"
"Raids","The World of Darkness","2.5","2.5","2.5","50","90"
"Raids","The Binding Coil of Bahamut - Turn 1","2.2","2.2","2.2","50","70"
"Raids","The Binding Coil of Bahamut - Turn 2","2.2","2.2","2.2","50","73"
"Raids","The Binding Coil of Bahamut - Turn 3","2.2","2.2","2.1","50","70"
"Raids","The Binding Coil of Bahamut - Turn 4","2.2","2.2","2.2","50","77"
"Raids","The Binding Coil of Bahamut - Turn 5","2.2","2.2","2.1","50","82"
"Raids","The Second Coil of Bahamut - Turn 1","2.4","2.4","2.3","50","90"
"Raids","The Second Coil of Bahamut - Turn 2","2.4","2.4","2.3","50","95"
"Raids","The Second Coil of Bahamut - Turn 3","2.4","2.4","2.3","50","100"
"Raids","The Second Coil of Bahamut - Turn 4","2.4","2.4","2.3","50","105"
"Raids","The Final Coil of Bahamut - Turn 1","2.5","2.5","2.5","50","110"
"Raids","The Final Coil of Bahamut - Turn 2","2.5","2.5","2.41","50","115"
"Raids","The Final Coil of Bahamut - Turn 3","2.5","2.5","2.41","50","120"
"Raids","The Final Coil of Bahamut - Turn 4","2.5","2.5","2.5","50","123"
"Raids","The Second Coil of Bahamut (Savage) - Turn 1","2.4","2.4","2.4","50","105"
"Raids","The Second Coil of Bahamut (Savage) - Turn 2","2.4","2.4","2.4","50","105"
"Raids","The Second Coil of Bahamut (Savage) - Turn 3","2.4","2.4","2.4","50","105"
"Raids","The Second Coil of Bahamut (Savage) - Turn 4","2.4","2.4","2.38","50","105"
"Raids","The Void Ark","3.1","3.1","3.1","60","175"
"Raids","The Weeping City of Mhach","3.3","3.3","3.3","60","205"
"Raids","Dun Scaith","3.5","3.5","3.5","60","235"
"Raids","Alexander - The Fist of the Father","3.1","3.1","3.05","60","170"
"Raids","Alexander - The Cuff of the Father","5.2","5.2","3.05","60","170"
"Raids","Alexander - The Arm of the Father","3.1","3.1","3.05","60","170"
"Raids","Alexander - The Burden of the Father","3.1","3.1","3.1","60","170"
"Raids","Alexander - The Fist of the Son","3.25","3.25","3.25","60","200"
"Raids","Alexander - The Cuff of the Son","3.3","3.3","3.2","60","200"
"Raids","Alexander - The Arm of the Son","3.3","3.3","3.25","60","200"
"Raids","Alexander - The Burden of the Son","3.3","3.3","3.2","60","200"
"Raids","Alexander - The Eyes of the Creator","3.4","3.4","3.4","60","230"
"Raids","Alexander - The Breath of the Creator","3.4","3.4","3.4","60","230"
"Raids","Alexander - The Heart of the Creator","3.4","3.4","3.4","60","230"
"Raids","Alexander - The Soul of the Creator","3.4","3.4","3.4","60","230"
"Raids","Alexander - The Fist of the Father (Savage)","3.1","","3.1","60","190"
"Raids","Alexander - The Cuff of the Father (Savage)","7.0","7.0","3.1","60","195"
"Raids","Alexander - The Arm of the Father (Savage)","3.1","3.1","3.1","60","200"
"Raids","Alexander - The Burden of the Father (Savage)","3.1","3.1","3.1","60","205"
"Raids","Alexander - The Fist of the Son (Savage)","3.25","3.25","3.25","60","215"
"Raids","Alexander - The Cuff of the Son (Savage)","3.3","3.3","3.26","60","220"
"Raids","Alexander - The Arm of the Son (Savage)","3.3","3.3","3.25","60","225"
"Raids","Alexander - The Burden of the Son (Savage)","3.3","3.3","3.2","60","225"
"Raids","Alexander - The Eyes of the Creator (Savage)","3.4","3.4","3.4","60","245"
"Raids","Alexander - The Breath of the Creator (Savage)","3.4","3.4","3.4","60","250"
"Raids","Alexander - The Heart of the Creator (Savage)","3.4","3.4","3.4","60","255"
"Raids","Alexander - The Soul of the Creator (Savage)","3.4","3.4","3.4","60","255"
"Raids","The Royal City of Rabanastre","4.1","4.1","4.1","70","305"
"Raids","The Ridorana Lighthouse","4.3","4.3","4.3","70","335"
"Raids","The Orbonne Monastery","4.5","4.5","4.5","70","365"
"Raids","Deltascape V1.0","4.2","4.2","4.01","70","295"
"Raids","Deltascape V2.0","4.2","4.2","4.01","70","295"
"Raids","Deltascape V3.0","4.2","4.2","4.01","70","295"
"Raids","Deltascape V4.0","4.05","4.05","4.01","70","295"
"Raids","Sigmascape V1.0","4.2","4.2","4.2","70","325"
"Raids","Sigmascape V2.0","4.2","4.2","4.2","70","325"
"Raids","Sigmascape V3.0","4.2","4.2","4.2","70","325"
"Raids","Sigmascape V4.0","4.2","4.2","4.2","70","325"
"Raids","Alphascape V1.0","4.4","4.4","4.4","70","355"
"Raids","Alphascape V2.0","4.4","4.4","4.4","70","355"
"Raids","Alphascape V3.0","4.4","4.4","4.4","70","355"
"Raids","Alphascape V4.0","4.4","4.4","4.4","70","355"
"Raids","Deltascape V1.0 (Savage)","4.2","4.2","4.06","70","310"
"Raids","Deltascape V2.0 (Savage)","4.2","4.2","4.2","70","315"
"Raids","Deltascape V3.0 (Savage)","4.2","4.2","4.2","70","320"
"Raids","Deltascape V4.0 (Savage)","4.05","4.05","4.05","70","320"
"Raids","Sigmascape V1.0 (Savage)","4.2","4.2","4.2","70","340"
"Raids","Sigmascape V2.0 (Savage)","4.2","4.2","4.2","70","345"
"Raids","Sigmascape V3.0 (Savage)","4.2","4.2","4.2","70","350"
"Raids","Sigmascape V4.0 (Savage)","4.2","4.2","4.2","70","350"
"Raids","Alphascape V1.0 (Savage)","4.4","4.4","4.4","70","370"
"Raids","Alphascape V2.0 (Savage)","4.4","4.4","4.4","70","375"
"Raids","Alphascape V3.0 (Savage)","4.4","4.4","4.4","70","380"
"Raids","Alphascape V4.0 (Savage)","4.4","4.4","4.4","70","380"
"Raids","The Copied Factory","5.1","5.1","5.1","80","435"
"Raids","The Puppets' Bunker","5.3","5.3","5.3","80","465"
"Raids","The Tower at Paradigm's Breach","5.5","5.5","5.5","80","495"
